Date,Ticker,Direction,Entry Price,Exit Price,PnL,Holding Days,Stop Loss Hit
2009-09-10,IP,1.0,12.259834289550781,12.532859802246094,0.02226991868299686,2,False
2009-09-11,CVX,1.0,38.631656646728516,38.253177642822266,-0.009797120723226896,2,False
2009-09-11,GE,1.0,50.91010665893555,50.46291732788086,-0.00878390088731426,2,False
2009-09-23,C,1.0,35.21650314331055,34.23194122314453,-0.027957401567084192,2,False
2009-09-24,C,1.0,35.21650314331055,33.550350189208984,-0.04731170915298704,3,True
2009-09-25,FCX,1.0,24.649255752563477,24.138896942138672,-0.020704836508977694,2,False
2009-09-25,JNJ,1.0,38.49028396606445,38.426910400390625,-0.0016464821545536634,2,False
2009-09-30,FAST,1.0,6.532687664031982,6.514172077178955,-0.002834298500902078,2,False
2009-10-02,FAST,1.0,6.2364373207092285,6.167422294616699,-0.011066418620668615,2,False
2009-10-02,BAC,1.0,12.774982452392578,12.877429008483887,0.008019310904972848,2,False
2009-10-02,KO,1.0,16.47669219970703,16.709327697753906,0.014119065600497862,2,False
2009-10-09,FAST,1.0,6.451890468597412,6.630317211151123,0.02765495530684349,2,False
2009-10-14,NDAQ,1.0,5.471965789794922,5.617884635925293,0.026666622514801914,2,False
2009-10-16,BX,1.0,9.191020965576172,8.921828269958496,-0.029288660816453756,2,False
2009-10-21,C,-1.0,33.550350189208984,33.474605560302734,0.002257640485988496,2,False
2009-10-21,GOOG,-1.0,13.676715850830078,13.661345481872559,0.0011238347805980528,2,False
2009-10-21,NOC,1.0,32.574058532714844,32.443214416503906,-0.004016819582967467,2,False
2009-10-22,BSX,-1.0,8.210000038146973,8.380000114440918,-0.020706464738618317,2,False
2009-10-23,BSX,-1.0,8.210000038146973,8.75,-0.06577344206382091,3,True
2009-10-23,BAC,1.0,13.01928997039795,12.78286075592041,-0.018159916171704434,2,False
2009-10-23,FCX,1.0,30.035184860229492,29.445178985595703,-0.01964382364814521,2,False
2009-10-28,MAS,1.0,8.908839225769043,8.268609046936035,-0.07186460128061642,2,True
2009-10-28,MOS,1.0,37.00381088256836,35.79020690917969,-0.03279672942984293,2,True
2009-10-28,RF,-1.0,3.402066707611084,3.234311103820801,0.04930991018341332,2,False
2009-10-29,LVS,-1.0,8.516602516174316,9.54480266571045,-0.12072891127458693,2,True
2009-10-29,WYNN,-1.0,32.572593688964844,34.03584671020508,-0.04492282792131364,2,True
2009-10-30,IP,-1.0,12.20207691192627,11.713788986206055,0.040016788063592997,2,False
2009-11-04,BK,-1.0,18.502458572387695,18.09627342224121,0.021953036595507274,2,False
2009-11-04,BX,1.0,7.63629150390625,7.564871788024902,-0.00935267018615172,2,False
2009-11-04,GS,1.0,131.2428741455078,129.62921142578125,-0.012295240638646095,2,False
2009-11-04,LVS,-1.0,9.79053783416748,9.609471321105957,0.018494031291072587,2,False
2009-11-05,AIG,-1.0,23.12824058532715,25.09605598449707,-0.08508279702081312,2,True
2009-11-05,MS,1.0,22.738306045532227,23.417268753051758,0.0298598631824176,2,False
2009-11-06,DIS,1.0,24.66715431213379,24.292892456054688,-0.01517247799820192,2,False
2009-11-06,MMC,-1.0,17.038597106933594,16.929702758789062,0.006391039559249768,2,False
2009-11-06,NDAQ,1.0,4.882885456085205,4.988269805908203,0.021582392372457716,2,False
2009-11-11,BMY,-1.0,13.734646797180176,13.681686401367188,0.0038559707137034963,2,False
2009-11-12,AAPL,-1.0,6.116523265838623,6.078605651855469,0.006199210292377674,2,False
2009-11-12,INTC,1.0,12.846046447753906,12.742447853088379,-0.00806462868454296,2,False
2009-11-12,TXN,1.0,17.103248596191406,17.13025665283203,0.001579118521766632,2,False
2009-11-13,AMZN,1.0,6.526500225067139,6.648499965667725,0.018692980371318522,2,False
2009-11-13,FCX,1.0,29.376405715942383,29.52481460571289,0.005051975766047079,2,False
2009-11-13,MGM,-1.0,9.964588165283203,10.153484344482422,-0.018956747239924705,2,False
2009-11-18,ABT,1.0,18.187362670898438,18.14301109313965,-0.002438593135317851,2,False
2009-11-19,FSLR,1.0,124.66999816894531,121.12999725341797,-0.028394970462180858,2,False
2009-11-19,KO,-1.0,17.54990577697754,17.64296531677246,-0.005302566348646726,2,False
2009-11-20,EBAY,-1.0,8.779098510742188,8.627668380737305,0.017248938466699226,2,False
2009-11-20,DRI,1.0,17.337783813476562,17.19557762145996,-0.008202097427588494,2,False
2009-11-20,INTC,1.0,12.496402740478516,12.457555770874023,-0.003108652178651266,2,False
2009-11-25,PEG,1.0,17.38117027282715,17.575843811035156,0.01120025493981557,2,False
2009-11-25,WY,1.0,8.350144386291504,8.461244583129883,0.013305182724836825,2,False
2009-12-02,ADSK,1.0,23.959999084472656,23.90999984741211,-0.0020867795897767383,2,False
2009-12-02,EBAY,1.0,9.085742950439453,8.994885444641113,-0.010000008397105853,2,False
2009-12-02,USB,1.0,15.444039344787598,15.501144409179688,0.003697547197156225,2,False
2009-12-03,USB,1.0,15.444039344787598,14.752420425415039,-0.0447822557254739,3,True
2009-12-03,STT,1.0,30.105485916137695,28.78346824645996,-0.04391284941755689,2,True
2009-12-04,FITB,1.0,6.5745134353637695,6.650960922241211,0.011627854689023318,2,False
2009-12-09,CF,1.0,12.226655006408691,12.350706100463867,0.010145955209348223,2,False
2009-12-09,FAST,1.0,6.4704060554504395,6.5091233253479,0.005983746547845616,2,False
2009-12-09,MMC,1.0,15.637470245361328,15.688284873962402,0.003249542784335451,2,False
2009-12-09,MO,1.0,7.459062099456787,7.5016655921936035,0.005711642049463436,2,False
2009-12-10,JPM,-1.0,27.679086685180664,27.73284339904785,-0.0019421418950202845,2,False
2009-12-10,MS,-1.0,21.922090530395508,21.835416793823242,0.003953716752154198,2,False
2009-12-11,FITB,1.0,6.42161750793457,6.485327243804932,0.00992113525784452,2,False
2009-12-11,GS,-1.0,127.78323364257812,127.22377014160156,0.004378223065957426,2,False
2009-12-11,PEP,1.0,39.51708984375,39.15284729003906,-0.009217342551062015,2,False
2009-12-16,DAL,1.0,9.552474021911621,10.163132667541504,0.0639267528212214,2,False
2009-12-16,DFS,1.0,12.076892852783203,12.386170387268066,0.02560903191366711,2,False
2009-12-16,DRI,1.0,17.80814552307129,18.245683670043945,0.02456955141150464,2,False
2009-12-17,FSLR,-1.0,136.74000549316406,135.72999572753906,0.007386351653141426,2,False
2009-12-17,JCI,1.0,11.834866523742676,11.71993350982666,-0.009711390803220402,2,False
2009-12-17,MS,1.0,21.91486930847168,21.033649444580078,-0.04021104810106928,2,True
