Date,Daily Return
2009-06-22,0.0
2009-06-23,0.0
2009-06-24,0.0
2009-06-25,0.0
2009-06-26,0.0
2009-06-27,0.0
2009-06-28,0.0
2009-06-29,0.0
2009-06-30,0.0
2009-07-01,0.0
2009-07-02,0.0
2009-07-03,0.0
2009-07-04,0.0
2009-07-05,0.0
2009-07-06,0.0
2009-07-07,0.0
2009-07-08,0.0
2009-07-09,0.0
2009-07-10,0.0
2009-07-11,0.0
2009-07-12,0.0
2009-07-13,0.0
2009-07-14,0.0
2009-07-15,0.0
2009-07-16,0.0
2009-07-17,0.0
2009-07-18,0.0
2009-07-19,0.0
2009-07-20,0.0
2009-07-21,0.0
2009-07-22,0.0
2009-07-23,0.0
2009-07-24,0.0
2009-07-25,0.0
2009-07-26,0.0
2009-07-27,0.0
2009-07-28,0.0
2009-07-29,0.0
2009-07-30,0.0
2009-07-31,0.0
2009-08-01,0.0
2009-08-02,0.0
2009-08-03,0.0
2009-08-04,0.0
2009-08-05,0.0
2009-08-06,0.0
2009-08-07,0.0
2009-08-08,0.0
2009-08-09,0.0
2009-08-10,0.0
2009-08-11,0.0
2009-08-12,0.0
2009-08-13,0.0
2009-08-14,0.0
2009-08-15,0.0
2009-08-16,0.0
2009-08-17,0.0
2009-08-18,0.0
2009-08-19,0.0
2009-08-20,0.0
2009-08-21,0.0
2009-08-22,0.0
2009-08-23,0.0
2009-08-24,0.0
2009-08-25,0.0
2009-08-26,0.0
2009-08-27,0.0
2009-08-28,0.0
2009-08-29,0.0
2009-08-30,0.0
2009-08-31,0.0
2009-09-01,0.0
2009-09-02,0.0
2009-09-03,0.005446599095186411
2009-09-04,0.0
2009-09-05,0.0
2009-09-06,0.0
2009-09-07,0.0
2009-09-08,0.00946648900456415
2009-09-09,0.011723778469305626
2009-09-10,-0.011191277447344623
2009-09-11,0.0
2009-09-12,0.0
2009-09-13,0.0
2009-09-14,0.0
2009-09-15,0.0
2009-09-16,0.0
2009-09-17,-0.005641905057828848
2009-09-18,0.0
2009-09-19,0.0
2009-09-20,0.0
2009-09-21,0.048467510838253514
2009-09-22,-0.02835564993374229
2009-09-23,-0.007744513497503915
2009-09-24,-0.004745074756220579
2009-09-25,0.0
2009-09-26,0.0
2009-09-27,0.0
2009-09-28,-0.010763729661026789
2009-09-29,-0.002838322730609022
2009-09-30,-0.028092867159047456
2009-10-01,0.006273193407735734
2009-10-02,0.0
2009-10-03,0.0
2009-10-04,0.0
2009-10-05,0.0
2009-10-06,0.0
2009-10-07,0.020293216807764525
2009-10-08,0.027279464102375917
2009-10-09,0.0
2009-10-10,0.0
2009-10-11,0.0
2009-10-12,-0.009828200580078494
2009-10-13,0.04521913357780606
2009-10-14,-0.019960214253918602
2009-10-15,-0.009945588806754429
2009-10-16,0.0
2009-10-17,0.0
2009-10-18,0.0
2009-10-19,-0.008171693469744692
2009-10-20,0.004387701884726914
2009-10-21,0.003765060746571251
2009-10-22,-0.014850187042671806
2009-10-23,0.0
2009-10-24,0.0
2009-10-25,0.0
2009-10-26,-0.016763272976116635
2009-10-27,0.029038762294090387
2009-10-28,-0.03917337440443894
2009-10-29,0.019760490026259608
2009-10-30,0.0
2009-10-31,0.0
2009-11-01,0.0
2009-11-02,-0.00043020925696057866
2009-11-03,0.006992118907586909
2009-11-04,0.002046530054176984
2009-11-05,0.0020252733725116454
2009-11-06,0.0
2009-11-07,0.0
2009-11-08,0.0
2009-11-09,-0.012503143261785699
2009-11-10,0.007693893987243473
2009-11-11,0.0011703016748851134
2009-11-12,0.0005577444046350917
2009-11-13,0.0
2009-11-14,0.0
2009-11-15,0.0
2009-11-16,-0.0059843133963739525
2009-11-17,-0.00260070056263108
2009-11-18,-0.013879103586018633
2009-11-19,-0.0031801291345396167
2009-11-20,0.0
2009-11-21,0.0
2009-11-22,0.0
2009-11-23,-0.009177181020104928
2009-11-24,0.00407224517792279
2009-11-25,0.0
2009-11-26,0.0
2009-11-27,0.0
2009-11-28,0.0
2009-11-29,0.0
2009-11-30,-0.00013458860327317766
2009-12-01,-0.0011310041326134802
2009-12-02,-0.00497565925447227
2009-12-03,0.011560770714361901
2009-12-04,0.0
2009-12-05,0.0
2009-12-06,0.0
2009-12-07,-0.013226231348122213
2009-12-08,0.003472264409722819
2009-12-09,0.001294496496618942
2009-12-10,0.009743871688941674
2009-12-11,0.0
2009-12-12,0.0
2009-12-13,0.0
2009-12-14,-0.006916583191300103
2009-12-15,0.012018317576972817
2009-12-16,-0.013410557262308703
2009-12-17,-0.005405931818063212
2009-12-18,0.0
2009-12-19,0.0
2009-12-20,0.0
2009-12-21,-0.03204366792607989
2009-12-22,0.0019150466140912875
2009-12-23,0.004387734509026085
2009-12-24,0.0
2009-12-25,0.0
2009-12-26,0.0
2009-12-27,0.0
2009-12-28,-0.0050869981854578875
2009-12-29,0.01401648798635824
2009-12-30,0.003648116374268996
2009-12-31,0.0
2010-01-01,0.0
2010-01-02,0.0
2010-01-03,0.0
2010-01-04,-0.014496635986476325
2010-01-05,-0.013683494289375611
2010-01-06,0.01699838021672189
2010-01-07,-0.005879360434282822
2010-01-08,0.0
2010-01-09,0.0
2010-01-10,0.0
2010-01-11,-0.0030864737284453155
2010-01-12,-0.021289108889251437
2010-01-13,0.002481515754023992
2010-01-14,-0.0036848489671268136
2010-01-15,0.0
2010-01-16,0.0
2010-01-17,0.0
2010-01-18,0.0
2010-01-19,-0.013112258482012541
2010-01-20,0.005736882273949427
2010-01-21,-0.002578073760015247
2010-01-22,0.0
2010-01-23,0.0
2010-01-24,0.0
